title,description,price,category,image_url
Thớt Chặt Gỗ Teak Đầu Cây Kaiyo Bền Chắc,,235,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/thot-go-teak-kaiyo-52.jpg?v=1738768987447
Thớt Gỗ Teak Kaiyo Tròn Tiêu Chuẩn Xuất Châu Âu,,359,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/thot-go-teak-kaiyo-4-copy.jpg?v=1738756206343
Máy Vắt Cam Chanh Bear 5 Mức Độ Ép SB-VC04L 400ml-Bản Quốc Tế - 18 Tháng Bảo Hành,,339,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/vat-cam-bear-sb-vc04l-5-copy.jpg?v=1738684981493
"[Bản Tiếng Việt] Nồi Nấu Chậm Bear Sube SB-NNC15 Nấu Cháo, Ninh Hầm Các Món Mềm Nhừ và Ngon 1.5 Lít",,519,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/bear-sb-nnc15-1-copy.jpg?v=1737265817537
Máy xay sinh tố cầm tay Bear SB-MX04X Bản Quốc Tế,,539,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/may-xay-sinh-to-cam-tay-bear-sb-mx04x-15.jpg?v=1736941413370
[Bản Tiếng Việt] Nồi chiên không dầu Bear AF-4H15J dung tích 6L,,1,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/noi-chien-khong-dau-bear-af-4h15j-anh-1.jpg?v=1736921795507
[Bản Tiếng Việt] Máy hâm sữa tiệt trùng Bear BW-4H03M,,485,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/may-ham-sua-tiet-trung-bear-bw-4h03m-8-copy.jpg?v=1735787312677
Chảo Gang Oceno Có Vòi (tráng men gốm vô cơ),,430,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/chao-gang-oceno-co-voi-33-copy-2.jpg?v=1735645586147
Bếp từ đơn lõi đồng Kaiyo KIH-4052 5 chế độ nấu thông minh,,1,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/bep-tu-kaiyo-5-1-copy.jpg?v=1735481684533
"Nồi Ủ Chân Không KAIYO Inox 304 4.5L Thực Phẩm Chín Mềm, Tiết Kiệm 85% Ga Điện",,1,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/noi-u-chan-khong-kaiyo-4-5-lit-16-copy.jpg?v=1735472935463
Nồi Ủ Chân Không KAIYO Inox 304 Thực Phẩm Chín Nhừ 3 Lít,,1,Đồ dùng nhà bếp,https://bizweb.dktcdn.net/100/128/766/products/noi-u-chan-khong-kaiyo-3-lit-19-copy.jpg?v=1735465568953
Ô tự động cán dài 16 nan Kaiyo họa tiết lá cây nhiệt đới,,165,Khác,https://bizweb.dktcdn.net/100/128/766/products/o-tu-dong-can-dai-16-nan-kaiyo-hinh-la-cay-nhiet-doi-13-copy.jpg?v=1735453474423
Ô gấp gọn thu mở tự động 10 nan Kaiyo rất chắc chắn họa tiết,,165,Khác,https://bizweb.dktcdn.net/100/128/766/products/o-10-nan-gap-gon-kaiyo-mau-hoa-tiet-13-copy.jpg?v=1735372759390
Set 2 miếng bông lau cao cấp Kaiyo thay thế cho cây lau nhà tách nước bẩn Kaiyo,,85,Dụng cụ vệ sinh,https://bizweb.dktcdn.net/100/128/766/products/bo-2-bong-lau-thay-the-cho-bong-lau-cay-lau-nha-kaiyo-3.png?v=1735370849673
"Máy hút bụi và khử khuẩn giường đệm, sofa Kaiyo mã KGV-4106",,890,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/may-hut-bui-va-khu-khuan-giuong-dem-sofa-kaiyo-8-copy.jpg?v=1735368300337
Bộ hộp cơm giữ nhiệt Kaiyo 1600ml bằng inox 304 kèm hộp đựng đũa (màu nâu),,550,Bình giữ nhiệt và hộp đựng,https://bizweb.dktcdn.net/100/128/766/products/hop-com-giu-nhiet-kaiyo-1600ml-mau-nau-1-copy.jpg?v=1735367072177
Bộ hộp cơm giữ nhiệt Kaiyo 1600ml bằng inox 304 kèm hộp đựng đũa (màu ghi),,550,Bình giữ nhiệt và hộp đựng,https://bizweb.dktcdn.net/100/128/766/products/hop-com-giu-nhiet-kaiyo-1600ml-mau-ghi-3-copy.jpg?v=1735367189357
Ấm siêu tốc 2 lớp cool touch 2L Kaiyo 2 năm bảo hành,,580,Thiết bị điện gia dụng,https://bizweb.dktcdn.net/100/128/766/products/am-sieu-toc-2-lop-cool-touch-2l-kaiyo-7-copy.jpg?v=1735284127403
Phích pha trà giữ nhiệt 2 lớp inox có lõi lọc Kaiyo 1100ml,,360,Bình giữ nhiệt và hộp đựng,https://bizweb.dktcdn.net/100/128/766/products/phich-pha-tra-giu-nhiet-2-lop-inox-co-loi-loc-kaiyo-dung-tich-1100m-1-copy.jpg?v=1735281285747
